Source,Headline,URL,Published At
Pypi.org,remote-store 0.4.3,https://pypi.org/project/remote-store/0.4.3/,2026-02-19T22:12:59Z
Pypi.org,otel-messagequeue-exporter 0.1.2,https://pypi.org/project/otel-messagequeue-exporter/0.1.2/,2026-02-19T21:23:00Z
Ben-evans.com,How will OpenAI compete?,https://www.ben-evans.com/benedictevans/2026/2/19/how-will-openai-compete-nkg2x,2026-02-19T20:51:04Z
Anime News Network,Kingdom's Return: Time Eating Fruit and the Ancient Monster Game Reveals New Alchemist Trailer,https://www.animenewsnetwork.com/news/2026-02-19/kingdom-return-time-eating-fruit-and-the-ancient-monster-game-reveals-new-alchemist-trailer/.234250,2026-02-19T20:15:00Z
Github.com,Show HN: Cogitator – Self-hosted AI agent runtime with native A2A Protocol,https://github.com/cogitator-ai/Cogitator-AI,2026-02-19T19:45:29Z
Onmantel.com,The King of the Pirates (and TCG): The Top 10 Most Expensive One Piece Cards on the Market,https://news.onmantel.com/the-king-of-the-pirates-and-tcg-the-top-10-most-expensive-one-piece-cards-on-the-market/,2026-02-19T19:29:05Z
Pypi.org,durabletask.azuremanaged 1.3.0.dev16,https://pypi.org/project/durabletask-azuremanaged/1.3.0.dev16/,2026-02-19T19:27:26Z
Pypi.org,azure-mgmt-computebulkactions added to PyPI,https://pypi.org/project/azure-mgmt-computebulkactions/,2026-02-19T19:01:16Z
Nacion.com,"BCR abre plazas con salarios de hasta ¢1,5 millones: así puede aplicar",https://www.nacion.com/economia/bcr-abre-plazas-con-salarios-de-hasta-15-millones/4I6OZOGJZZAZXEHOQLS42DO5YU/story/,2026-02-19T18:51:49Z
Databricks.com,Use Genie Everywhere with Enterprise OAuth,https://www.databricks.com/blog/access-genie-everywhere,2026-02-19T18:50:00Z
Pypi.org,irp-integration added to PyPI,https://pypi.org/project/irp-integration/,2026-02-19T17:23:09Z
iTnews,Microsoft says it does not think US ICE uses firm's tech for mass surveillance of civilians,https://www.itnews.com.au/news/microsoft-says-it-does-not-think-us-ice-uses-firms-tech-for-mass-surveillance-of-civilians-623741?utm_source=feed&utm_medium=rss&utm_campaign=iTnews+Technology+feed,2026-02-19T17:10:01Z
Pypi.org,az-scout 2026.2.5,https://pypi.org/project/az-scout/2026.2.5/,2026-02-19T17:07:00Z
Pypi.org,az-scout added to PyPI,https://pypi.org/project/az-scout/,2026-02-19T17:06:50Z
iTnews,Microsoft says it does not think US ICE uses firm's tech for mass surveillance of civilians,https://www.itnews.com.au/news/microsoft-says-it-does-not-think-us-ice-uses-firms-tech-for-mass-surveillance-of-civilians-623741?utm_source=feed&utm_medium=rss&utm_campaign=iTnews+Security+feed,2026-02-19T17:06:32Z
iTnews,Microsoft says it does not think US ICE uses firm's tech for mass surveillance of civilians,https://www.itnews.com.au/news/microsoft-says-it-does-not-think-us-ice-uses-firms-tech-for-mass-surveillance-of-civilians-623741?utm_source=feed&utm_medium=rss&utm_campaign=iTnews+,2026-02-19T17:06:22Z
iTnews,Microsoft says it does not think US ICE uses firm's tech for mass surveillance of civilians,https://www.itnews.com.au/news/microsoft-says-it-does-not-think-us-ice-uses-firms-tech-for-mass-surveillance-of-civilians-623741?utm_source=feed&utm_medium=rss&utm_campaign=iTnews+News+feed,2026-02-19T17:05:41Z
Microsoft.com,Introducing Budget Bytes: Build powerful AI apps for under $25,https://devblogs.microsoft.com/azure-sql/introducing-budget-bytes/,2026-02-19T17:02:52Z
Windowsblogitalia.com,"Project Silica, Microsoft salva un intero film su un pezzo di vetro | Durata di 10.000 anni",https://www.windowsblogitalia.com/2026/02/project-silica-microsoft-salva-superman-vetro/,2026-02-19T17:00:22Z
Microsoft.com,"Running OpenClaw safely: identity, isolation, and runtime risk",https://www.microsoft.com/en-us/security/blog/2026/02/19/running-openclaw-safely-identity-isolation-runtime-risk/,2026-02-19T16:27:00Z
